angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.02,,"[219, 172, 133, 168]",,0.0,,0.07,,0.0,,0.77,,0.15,,0.0,
0.02,,"[220, 172, 132, 166]",,0.0,,0.11,,0.01,,0.57,,0.3,,0.0,
0.02,,"[220, 171, 132, 167]",,0.0,,0.09,,0.01,,0.57,,0.3,,0.0,
0.01,,"[213, 161, 141, 185]",,0.0,,0.05,,0.01,,0.67,,0.25,,0.0,
0.01,,"[213, 162, 141, 184]",,0.0,,0.04,,0.01,,0.73,,0.22,,0.0,
0.01,,"[214, 162, 140, 183]",,0.0,,0.03,,0.01,,0.64,,0.31,,0.0,
0.01,,"[214, 162, 140, 183]",,0.0,,0.03,,0.0,,0.66,,0.3,,0.0,
0.0,,"[213, 162, 140, 184]",,0.0,,0.03,,0.0,,0.77,,0.2,,0.0,
0.01,,"[216, 172, 138, 173]",,0.0,,0.02,,0.0,,0.81,,0.16,,0.0,
0.01,,"[214, 165, 139, 180]",,0.0,,0.04,,0.0,,0.72,,0.23,,0.0,
0.01,,"[216, 170, 139, 176]",,0.0,,0.07,,0.0,,0.53,,0.39,,0.0,
0.01,,"[213, 159, 142, 186]",,0.0,,0.06,,0.01,,0.54,,0.37,,0.0,
0.03,,"[220, 171, 132, 168]",,0.0,,0.08,,0.01,,0.63,,0.24,,0.0,
0.03,,"[220, 164, 138, 176]",,0.0,,0.06,,0.01,,0.56,,0.33,,0.0,
0.07,,"[221, 160, 139, 182]",,0.0,,0.09,,0.02,,0.46,,0.36,,0.0,
0.05,,"[222, 173, 132, 160]",,0.0,,0.02,,0.14,,0.58,,0.21,,0.0,
0.01,,"[221, 169, 136, 163]",,0.0,,0.0,,0.52,,0.42,,0.04,,0.0,
0.02,,"[221, 168, 137, 164]",,0.0,,0.0,,0.53,,0.4,,0.05,,0.0,
0.0,,"[221, 169, 135, 160]",,0.0,,0.0,,0.9,,0.07,,0.02,,0.0,
0.02,,"[225, 172, 138, 161]",,0.0,,0.0,,0.43,,0.46,,0.09,,0.0,
0.01,,"[226, 170, 136, 163]",,0.0,,0.0,,0.58,,0.35,,0.05,,0.0,
0.01,,"[223, 165, 136, 171]",,0.0,,0.0,,0.67,,0.27,,0.05,,0.0,
0.0,,"[227, 172, 136, 163]",,0.0,,0.0,,0.75,,0.22,,0.02,,0.0,
0.0,,"[228, 173, 136, 162]",,0.0,,0.0,,0.69,,0.27,,0.03,,0.0,
0.02,,"[230, 173, 132, 161]",,0.0,,0.0,,0.46,,0.34,,0.18,,0.0,
0.02,,"[227, 172, 134, 161]",,0.0,,0.0,,0.55,,0.36,,0.07,,0.0,
0.01,,"[221, 164, 138, 173]",,0.0,,0.0,,0.77,,0.15,,0.06,,0.0,
0.0,,"[216, 163, 142, 174]",,0.0,,0.0,,0.71,,0.26,,0.02,,0.0,
0.0,,"[216, 163, 142, 174]",,0.0,,0.0,,0.78,,0.19,,0.02,,0.0,
0.01,,"[216, 163, 141, 175]",,0.0,,0.0,,0.63,,0.3,,0.05,,0.0,
0.0,,"[217, 169, 138, 165]",,0.0,,0.0,,0.93,,0.07,,0.0,,0.0,
